1,Russia,Already in Effect,
2,Egypt,Already in Effect,
3,Pakistan,Already in Effect,
4,Bangladesh,Already in Effect,
5,Saudi Arabia,Already in Effect,
6,Chad,Already in Effect,
7,Iran,Already in Effect,
8,Luxembourg,Already in Effect,
9,Thailand,Already in Effect,
10,North Macedonia,Already in Effect,
11,Kenya,Already in Effect,
12,Turkey,Already in Effect,
13,Malta,Already in Effect,
14,Sao Tome and Principe,Already in Effect,
15,Cameroon,Already in Effect,
16,Uganda,Already in Effect,
17,Guinea,Already in Effect,
18,Zimbabwe,Already in Effect,
19,Sri Lanka,Already in Effect,
20,Philippines,Already in Effect,
21,Gambia,Already in Effect,
22,Cambodia,Already in Effect,
23,Rwanda,Already in Effect,
24,Malaysia,Already in Effect,
25,Mauritania,Already in Effect,
26,Niger,Already in Effect,
27,Comoros,Already in Effect,
28,Maldives,Already in Effect,
29,United Kingdom,Already in Effect,
30,Ethiopia,Already in Effect,
31,Belgium,Already in Effect,
32,Congo,Already in Effect,
33,ROK (Republic of Korea),Already in Effect,
34,Serbia,Already in Effect,
35,Senegal,Already in Effect,
36,Cyprus,Already in Effect,
37,Tunisia,Already in Effect,
38,UAE (United Arab Emirates),Already in Effect,
39,Nepal,Already in Effect,
40,Bulgaria,Already in Effect,
41,Benin,Already in Effect,
42,Indonesia,Already in Effect,
43,Ireland,2020.08.28,
44,Belarus,2020.08.28,
45,Singapore,2020.08.28,
46,Italy,2020.08.28,
47,Qatar,2020.08.29,
48,Germany,2020.08.30,
49,Bosnia and Herzegovina,2020.08.31,
50,Czechia,2020.08.31,
51,Greece,2020.08.31,
52,Andorra,2020.09.01,
53,Bahrain,2020.09.01,
54,Iceland,2020.09.01,
55,Botswana,2020.09.01,
56,Burundi,2020.09.01,
57,Denmark,2020.09.01,
58,Kuwait,2020.09.01,
59,Liechtenstein,2020.09.01,
60,Moldova,2020.09.01,
61,South Africa,2020.09.01,
62,Nigeria,2020.09.01,
63,Portugal,2020.09.01,
64,Switzerland,2020.09.01,
65,Sierra Leone,2020.09.01,
66,Swaziland,2020.09.01,
67,Somalia,2020.09.01,
68,Brunei,2020.09.01,
69,Spain,2020.09.01,
70,Viet Nam,2020.09.01,
71,Austria,2020.09.03,
72,Gabon,2020.09.03,
73,Mexico,2020.09.03,
74,New Zealand,2020.09.03,
75,France,2020.09.04,
76,Tanzania,2020.09.04,
77,Slovakia,2020.09.05,
78,Finland,2020.09.07,
79,Lebanon,2020.09.10,
